initial_alias,converted_alias,name,description,namespace
ENSG00000122691,ENSG00000122691,TWIST1,twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428],"ARRAYEXPRESS,ENSG"
ENSG00000123201,ENSG00000123201,GUCY1B2,guanylate cyclase 1 soluble subunit beta 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4686],"ARRAYEXPRESS,ENSG"
ENSG00000123739,ENSG00000123739,PLA2G12A,phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554],"ARRAYEXPRESS,ENSG"
ENSG00000124279,ENSG00000124279,FASTKD3,FAST kinase domains 3 [Source:HGNC Symbol;Acc:HGNC:28758],"ARRAYEXPRESS,ENSG"
ENSG00000128710,ENSG00000128710,HOXD10,homeobox D10 [Source:HGNC Symbol;Acc:HGNC:5133],"ARRAYEXPRESS,ENSG"
ENSG00000132153,ENSG00000132153,DHX30,DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716],"ARRAYEXPRESS,ENSG"
ENSG00000135953,ENSG00000135953,MFSD9,major facilitator superfamily domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28158],"ARRAYEXPRESS,ENSG"
ENSG00000136010,ENSG00000136010,ALDH1L2,aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777],"ARRAYEXPRESS,ENSG"
ENSG00000141384,ENSG00000141384,TAF4B,TATA-box binding protein associated factor 4b [Source:HGNC Symbol;Acc:HGNC:11538],"ARRAYEXPRESS,ENSG"
ENSG00000142188,ENSG00000142188,TMEM50B,transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280],"ARRAYEXPRESS,ENSG"
ENSG00000143375,ENSG00000143375,CGN,cingulin [Source:HGNC Symbol;Acc:HGNC:17429],"ARRAYEXPRESS,ENSG"
ENSG00000144115,ENSG00000144115,THNSL2,threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602],"ARRAYEXPRESS,ENSG"
ENSG00000144224,ENSG00000144224,UBXN4,UBX domain protein 4 [Source:HGNC Symbol;Acc:HGNC:14860],"ARRAYEXPRESS,ENSG"
ENSG00000144228,ENSG00000144228,SPOPL,speckle type BTB/POZ protein like [Source:HGNC Symbol;Acc:HGNC:27934],"ARRAYEXPRESS,ENSG"
ENSG00000148908,ENSG00000148908,RGS10,regulator of G protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992],"ARRAYEXPRESS,ENSG"
ENSG00000149182,ENSG00000149182,ARFGAP2,ADP ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:13504],"ARRAYEXPRESS,ENSG"
ENSG00000149930,ENSG00000149930,TAOK2,TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835],"ARRAYEXPRESS,ENSG"
ENSG00000153237,ENSG00000153237,CCDC148,coiled-coil domain containing 148 [Source:HGNC Symbol;Acc:HGNC:25191],"ARRAYEXPRESS,ENSG"
ENSG00000154822,ENSG00000154822,PLCL2,phospholipase C like 2 [Source:HGNC Symbol;Acc:HGNC:9064],"ARRAYEXPRESS,ENSG"
ENSG00000155363,ENSG00000155363,MOV10,Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200],"ARRAYEXPRESS,ENSG"
ENSG00000155621,ENSG00000155621,C9orf85,chromosome 9 open reading frame 85 [Source:HGNC Symbol;Acc:HGNC:28784],"ARRAYEXPRESS,ENSG"
ENSG00000156860,ENSG00000156860,FBRS,fibrosin [Source:HGNC Symbol;Acc:HGNC:20442],"ARRAYEXPRESS,ENSG"
ENSG00000159214,ENSG00000159214,CCDC24,coiled-coil domain containing 24 [Source:HGNC Symbol;Acc:HGNC:28688],"ARRAYEXPRESS,ENSG"
ENSG00000162390,ENSG00000162390,ACOT11,acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156],"ARRAYEXPRESS,ENSG"
ENSG00000162576,ENSG00000162576,MXRA8,matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542],"ARRAYEXPRESS,ENSG"
ENSG00000162819,ENSG00000162819,BROX,BRO1 domain and CAAX motif containing [Source:HGNC Symbol;Acc:HGNC:26512],"ARRAYEXPRESS,ENSG"
ENSG00000163421,ENSG00000163421,PROK2,prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455],"ARRAYEXPRESS,ENSG"
ENSG00000163946,ENSG00000163946,FAM208A,family with sequence similarity 208 member A [Source:HGNC Symbol;Acc:HGNC:30314],"ARRAYEXPRESS,ENSG"
ENSG00000164068,ENSG00000164068,RNF123,ring finger protein 123 [Source:HGNC Symbol;Acc:HGNC:21148],"ARRAYEXPRESS,ENSG"
ENSG00000164778,ENSG00000164778,EN2,engrailed homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3343],"ARRAYEXPRESS,ENSG"
ENSG00000165105,ENSG00000165105,RASEF,RAS and EF-hand domain containing [Source:HGNC Symbol;Acc:HGNC:26464],"ARRAYEXPRESS,ENSG"
ENSG00000165801,ENSG00000165801,ARHGEF40,Rho guanine nucleotide exchange factor 40 [Source:HGNC Symbol;Acc:HGNC:25516],"ARRAYEXPRESS,ENSG"
ENSG00000166396,ENSG00000166396,SERPINB7,serpin family B member 7 [Source:HGNC Symbol;Acc:HGNC:13902],"ARRAYEXPRESS,ENSG"
ENSG00000167183,ENSG00000167183,PRR15L,proline rich 15 like [Source:HGNC Symbol;Acc:HGNC:28149],"ARRAYEXPRESS,ENSG"
ENSG00000167394,ENSG00000167394,ZNF668,zinc finger protein 668 [Source:HGNC Symbol;Acc:HGNC:25821],"ARRAYEXPRESS,ENSG"
ENSG00000167608,ENSG00000167608,TMC4,transmembrane channel like 4 [Source:HGNC Symbol;Acc:HGNC:22998],"ARRAYEXPRESS,ENSG"
ENSG00000168101,ENSG00000168101,NUDT16L1,nudix hydrolase 16 like 1 [Source:HGNC Symbol;Acc:HGNC:28154],"ARRAYEXPRESS,ENSG"
ENSG00000168453,ENSG00000168453,HR,"HR, lysine demethylase and nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:5172]","ARRAYEXPRESS,ENSG"
ENSG00000169105,ENSG00000169105,CHST14,carbohydrate sulfotransferase 14 [Source:HGNC Symbol;Acc:HGNC:24464],"ARRAYEXPRESS,ENSG"
ENSG00000169442,ENSG00000169442,CD52,CD52 molecule [Source:HGNC Symbol;Acc:HGNC:1804],"ARRAYEXPRESS,ENSG"
ENSG00000169515,ENSG00000169515,CCDC8,coiled-coil domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25367],"ARRAYEXPRESS,ENSG"
ENSG00000170962,ENSG00000170962,PDGFD,platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620],"ARRAYEXPRESS,ENSG"
ENSG00000170965,ENSG00000170965,PLAC1,placenta specific 1 [Source:HGNC Symbol;Acc:HGNC:9044],"ARRAYEXPRESS,ENSG"
ENSG00000171357,ENSG00000171357,LURAP1,leucine rich adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:32327],"ARRAYEXPRESS,ENSG"
ENSG00000171492,ENSG00000171492,LRRC8D,leucine rich repeat containing 8 VRAC subunit D [Source:HGNC Symbol;Acc:HGNC:16992],"ARRAYEXPRESS,ENSG"
ENSG00000171860,ENSG00000171860,C3AR1,complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319],"ARRAYEXPRESS,ENSG"
ENSG00000172716,ENSG00000172716,SLFN11,schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633],"ARRAYEXPRESS,ENSG"
ENSG00000173212,ENSG00000173212,MAB21L3,mab-21 like 3 [Source:HGNC Symbol;Acc:HGNC:26787],"ARRAYEXPRESS,ENSG"
ENSG00000174808,ENSG00000174808,BTC,betacellulin [Source:HGNC Symbol;Acc:HGNC:1121],"ARRAYEXPRESS,ENSG"
ENSG00000177606,ENSG00000177606,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]","ARRAYEXPRESS,ENSG"
ENSG00000179097,ENSG00000179097,HTR1F,5-hydroxytryptamine receptor 1F [Source:HGNC Symbol;Acc:HGNC:5292],"ARRAYEXPRESS,ENSG"
ENSG00000182359,ENSG00000182359,KBTBD3,kelch repeat and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22934],"ARRAYEXPRESS,ENSG"
ENSG00000183092,ENSG00000183092,BEGAIN,brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163],"ARRAYEXPRESS,ENSG"
ENSG00000186416,ENSG00000186416,NKRF,NFKB repressing factor [Source:HGNC Symbol;Acc:HGNC:19374],"ARRAYEXPRESS,ENSG"
ENSG00000188816,ENSG00000188816,HMX2,H6 family homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5018],"ARRAYEXPRESS,ENSG"
ENSG00000197641,ENSG00000197641,SERPINB13,serpin family B member 13 [Source:HGNC Symbol;Acc:HGNC:8944],"ARRAYEXPRESS,ENSG"
ENSG00000198270,ENSG00000198270,TMEM116,transmembrane protein 116 [Source:HGNC Symbol;Acc:HGNC:25084],"ARRAYEXPRESS,ENSG"
ENSG00000198721,ENSG00000198721,ECI2,enoyl-CoA delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:14601],"ARRAYEXPRESS,ENSG"
ENSG00000204604,ENSG00000204604,ZNF468,zinc finger protein 468 [Source:HGNC Symbol;Acc:HGNC:33105],"ARRAYEXPRESS,ENSG"
ENSG00000206073,ENSG00000206073,SERPINB4,serpin family B member 4 [Source:HGNC Symbol;Acc:HGNC:10570],"ARRAYEXPRESS,ENSG"
ENSG00000253313,ENSG00000253313,C1orf210,chromosome 1 open reading frame 210 [Source:HGNC Symbol;Acc:HGNC:28755],"ARRAYEXPRESS,ENSG"
ENSG00000085831,ENSG00000085831,TTC39A,tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657],"ARRAYEXPRESS,ENSG"
ENSG00000115649,ENSG00000115649,CNPPD1,cyclin Pas1/PHO80 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25220],"ARRAYEXPRESS,ENSG"
ENSG00000129595,ENSG00000129595,EPB41L4A,erythrocyte membrane protein band 4.1 like 4A [Source:HGNC Symbol;Acc:HGNC:13278],"ARRAYEXPRESS,ENSG"
ENSG00000139055,ENSG00000139055,ERP27,endoplasmic reticulum protein 27 [Source:HGNC Symbol;Acc:HGNC:26495],"ARRAYEXPRESS,ENSG"
ENSG00000143367,ENSG00000143367,TUFT1,tuftelin 1 [Source:HGNC Symbol;Acc:HGNC:12422],"ARRAYEXPRESS,ENSG"
ENSG00000143850,ENSG00000143850,PLEKHA6,pleckstrin homology domain containing A6 [Source:HGNC Symbol;Acc:HGNC:17053],"ARRAYEXPRESS,ENSG"
ENSG00000161958,ENSG00000161958,FGF11,fibroblast growth factor 11 [Source:HGNC Symbol;Acc:HGNC:3667],"ARRAYEXPRESS,ENSG"
ENSG00000165215,ENSG00000165215,CLDN3,claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045],"ARRAYEXPRESS,ENSG"
ENSG00000165807,ENSG00000165807,PPP1R36,protein phosphatase 1 regulatory subunit 36 [Source:HGNC Symbol;Acc:HGNC:20097],"ARRAYEXPRESS,ENSG"
ENSG00000166377,ENSG00000166377,ATP9B,ATPase phospholipid transporting 9B (putative) [Source:HGNC Symbol;Acc:HGNC:13541],"ARRAYEXPRESS,ENSG"
ENSG00000166387,ENSG00000166387,PPFIBP2,PPFIA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9250],"ARRAYEXPRESS,ENSG"
ENSG00000171617,ENSG00000171617,ENC1,ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345],"ARRAYEXPRESS,ENSG"
ENSG00000180891,ENSG00000180891,CUEDC1,CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350],"ARRAYEXPRESS,ENSG"
ENSG00000185499,ENSG00000185499,MUC1,"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]","ARRAYEXPRESS,ENSG"
ENSG00000198429,ENSG00000198429,ZNF69,zinc finger protein 69 [Source:HGNC Symbol;Acc:HGNC:13138],"ARRAYEXPRESS,ENSG"
